DEPNO	LONGITUDE	LATITUDE	COUNTRY	LOCATION	ALLNAMES	COMMODITIES	DEPCLAN	DBNAME	COMPBY	RELDATE	URL	TITLE
40208	-105.570278	57.210833	Canada (Saskatchewan)	57.12.39 N -- 105.34.13 W	P Patch; P-Patch Uranium Deposit; P Grid Uranium Deposit	U	Unconformity-associated	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp40208.html	U-Th-REE deposits & occurrences, v.3.7n
402571	-109.347500	57.643611	Canada (Saskatchewan)	57.38.37 N -- 109.20.51 W	Patterson Lake South; Triple R	U; Au	Unconformity-associated	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp402571.html	U-Th-REE deposits & occurrences, v.3.7n
40020	-104.874507	57.844220	Canada (Saskatchewan)	57.50.39 N -- 104.52.28 W	Paul Bay Grid; Paul Bay Ore Shoot (drill hole CB89004)	U; Au; Ag; Cu; Pb; Zn; Ni; Co	Unconformity-associated	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp40020.html	U-Th-REE deposits & occurrences, v.3.7n
798	-108.476389	59.588889	Canada (Saskatchewan)	59.35.20 N -- 108.28.35 W	Paul Claims Zone No. 3/2; Pax Athabasca Uranium Mines Radioactive Zone	U	Veins	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp798.html	U-Th-REE deposits & occurrences, v.3.7n
706	-106.990278	56.277778	Canada (Saskatchewan)	56.16.40 N -- 106.59.25 W	Peak Lake Radioactive Zones 1 to 4; ADA-LAD-SAD-MAD-DAD; Peak Lake	U	Intrusion-related	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp706.html	U-Th-REE deposits & occurrences, v.3.7n
1004	-105.186944	56.922778	Canada (Saskatchewan)	56.55.22 N -- 105.11.13 W	Pipe Lake North; North Pipe Lake Uranium	U; Th	Intrusion-related	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp1004.html	U-Th-REE deposits & occurrences, v.3.7n
683	-105.821389	56.308333	Canada (Saskatchewan)	56.18.30 N -- 105.49.17 W	Pipewrench Lake; Lake 3A; CBS 1073; Pipewrench Lake North U Zone; Pipewrench Lake South U Zone	U; Th	Intrusion-related	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp683.html	U-Th-REE deposits & occurrences, v.3.7n
769	-108.676389	59.488889	Canada (Saskatchewan)	59.29.20 N -- 108.40.35 W	Pitchie Uranium Zone 1; Uranium Ridge Uranium Mine; Pitche 1-12 Claim Group	U; Cu; V	Veins	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp769.html	U-Th-REE deposits & occurrences, v.3.7n
852	-108.554167	59.538889	Canada (Saskatchewan)	59.32.20 N -- 108.33.15 W	Pitch-Ore Uranium Mine	U; Cu; Pb; Sc	Veins	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp852.html	U-Th-REE deposits & occurrences, v.3.7n
2072	-104.808333	55.398611	Canada (Saskatchewan)	55.23.55 N -- 104.48.30 W	Pix; Freda Lake; Lori Claims	Cu; U; Mo	Miscellaneous	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp2072.html	U-Th-REE deposits & occurrences, v.3.7n
887	-105.090000	59.279444	Canada (Saskatchewan)	59.16.46 N -- 105.05.24 W	Pluto Bay Radioactive Pegmatites	U; Mo	Intrusion-related	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp887.html	U-Th-REE deposits & occurrences, v.3.7n
1721	-103.895278	58.398333	Canada (Saskatchewan)	58.23.54 N -- 103.53.43 W	Q - 5 Zone (Asamera)	U	Unconformity-associated	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp1721.html	U-Th-REE deposits & occurrences, v.3.7n
2294	-109.483333	58.361111	Canada (Saskatchewan)	58.21.40 N -- 109.29.00 W	R	U	Unconformity-associated	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp2294.html	U-Th-REE deposits & occurrences, v.3.7n
40001	-103.711462	58.198133	Canada (Saskatchewan)	58.11.53 N -- 103.42.41 W	Rabbit Lake Uranium Mine; Eagle Point Mine	U	Unconformity-associated	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp40001.html	U-Th-REE deposits & occurrences, v.3.7n
